model,metric,ar,bn,cs,da,de,el,en,es,fa,fi,fil,fr,he,hi,hr,hu,id,it,ja,ko,mi,nl,no,pl,pt,quz,ro,ru,sv,sw,te,th,tr,uk,vi,zh,Average
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.00,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.00,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.10,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.10,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.20,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.20,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.30,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.30,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.40,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.40,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.50,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.50,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.60,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.60,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.70,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.70,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.80,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.80,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.90,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_0.90,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_1.00,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
translate_test/coco/B16_CLL_CLIP_with_TEIR/score_1.00,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.00,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.00,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.10,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.10,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.20,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.20,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.30,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.30,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.40,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.40,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,64.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.50,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.50,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.60,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.60,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.70,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.70,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.80,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.80,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.90,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_0.90,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_1.00,img_r1,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
translate_test/coco_cc3m/B16_CLL_CLIP_with_TEIR/score_1.00,txt_r1,0,0,0,0,0,0,0,0,0,0,0,0,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
