model,metric,cl_AA,cl_F,cl_Fen
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r1,35.7,14.1,3.8
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r5,59.1,15.7,3.8
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r10,68.9,14.3,3.7
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r1,18.7,10.0,4.3
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r5,38.5,15.1,5.2
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r10,48.9,16.0,5.0
coco/CL/B16_Ablation_onlyCrossLingual/order222,r_mean,45.0,14.2,4.3
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r1,32.4,16.3,15.9
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r5,57.6,18.2,12.3
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r10,68.3,16.8,9.1
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r1,20.2,12.2,11.6
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r5,41.9,18.2,13.2
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r10,52.9,18.8,12.3
coco/CL/B16_Ablation_onlyCrossModal/order222,r_mean,45.6,16.7,12.4
coco/CL/B16_Ablation_trainAll/order222,txt_r1,7.7,51.6,28.2
coco/CL/B16_Ablation_trainAll/order222,txt_r5,14.8,69.3,25.7
coco/CL/B16_Ablation_trainAll/order222,txt_r10,18.7,72.8,21.5
coco/CL/B16_Ablation_trainAll/order222,img_r1,3.6,32.7,20.7
coco/CL/B16_Ablation_trainAll/order222,img_r5,8.3,56.3,28.6
coco/CL/B16_Ablation_trainAll/order222,img_r10,11.3,64.5,28.1
coco/CL/B16_Ablation_trainAll/order222,r_mean,10.7,57.9,25.5
coco/CL/B16_CLL_CLIP/order222,txt_r1,29.6,23.2,11.1
coco/CL/B16_CLL_CLIP/order222,txt_r5,51.4,26.5,10.4
coco/CL/B16_CLL_CLIP/order222,txt_r10,61.2,24.9,7.7
coco/CL/B16_CLL_CLIP/order222,img_r1,15.2,15.6,8.8
coco/CL/B16_CLL_CLIP/order222,img_r5,32.3,24.7,11.3
coco/CL/B16_CLL_CLIP/order222,img_r10,41.9,26.5,10.4
coco/CL/B16_CLL_CLIP/order222,r_mean,38.6,23.6,10.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r1,33.3,19.2,7.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r5,56.3,21.3,7.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r10,66.2,19.7,4.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r1,17.0,13.5,7.1
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r5,35.8,20.8,8.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r10,45.9,22.1,7.5
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,r_mean,42.4,19.4,7.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r1,31.9,20.3,6.5
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r5,54.6,22.8,6.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r10,64.5,21.2,5.2
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r1,16.9,13.5,6.3
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r5,35.5,21.2,7.8
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r10,45.4,22.6,7.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,r_mean,41.5,20.3,6.3
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,txt_r1,37.2,14.9,3.2
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,txt_r5,61.1,16.1,2.1
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,txt_r10,71.1,14.5,1.8
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,img_r1,19.7,10.6,3.7
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,img_r5,40.4,16.0,4.5
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,img_r10,51.1,16.7,3.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_gd/order222,r_mean,46.7,14.8,3.1
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,txt_r1,32.4,21.9,10.4
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,txt_r5,54.5,24.4,9.3
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,txt_r10,64.2,22.8,7.5
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,img_r1,16.8,15.1,7.9
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,img_r5,35.1,23.3,10.1
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,img_r10,44.8,24.9,9.2
coco/CL/B16_CLL_CLIP_Oracle0_ID1_REG0/order222,r_mean,41.3,22.0,9.1
