model,metric,ar,bn,cs,da,de,el,en,es,fa,fi,fil,fr,he,hi,hr,hu,id,it,ja,ko,mi,nl,no,pl,pt,quz,ro,ru,sv,sw,te,th,tr,uk,vi,zh,Average
zero_shot/M-CLIP/evaluations_retrieval,txt_r1,45.4,36.1,46.2,47.4,47.7,47.0,48.4,46.9,42.2,41.6,47.6,47.4,36.8,43.1,46.9,47.6,46.9,47.5,41.5,38.0,2.6,47.5,46.6,46.1,46.9,7.4,47.8,46.8,47.3,43.0,35.3,42.4,45.8,47.4,45.4,47.1,42.7
zero_shot/M-CLIP/evaluations_retrieval,txt_r5,70.7,62.3,71.9,73.0,73.4,72.1,74.0,72.2,67.8,67.6,72.8,72.8,63.0,69.4,73.3,72.3,71.9,72.3,66.8,63.6,5.6,73.0,72.5,72.3,72.8,16.6,73.1,72.5,73.3,68.7,62.0,67.8,71.9,73.1,71.7,72.6,67.3
zero_shot/M-CLIP/evaluations_retrieval,txt_r10,80.3,72.6,80.7,82.1,81.8,81.6,82.6,81.1,77.5,77.3,81.5,82.3,74.0,79.0,81.7,81.7,81.3,81.5,76.6,73.4,7.7,81.7,81.1,81.0,81.7,22.7,81.6,81.7,82.2,79.1,73.2,77.4,81.3,82.1,80.8,81.4,76.3
zero_shot/M-CLIP/evaluations_retrieval,img_r1,27.5,20.0,28.5,29.9,29.7,29.0,30.7,29.2,24.3,25.0,29.1,29.5,20.5,26.0,29.2,29.3,29.0,29.3,23.6,21.7,0.7,29.5,28.7,28.6,29.4,2.7,29.4,29.0,29.7,25.5,19.7,24.9,28.7,28.9,28.1,28.5,25.9
zero_shot/M-CLIP/evaluations_retrieval,img_r5,52.0,41.5,53.6,55.0,54.8,54.0,56.1,54.0,48.7,48.2,54.0,54.6,42.8,50.3,54.1,54.0,53.9,54.1,46.9,44.0,1.9,54.6,53.3,53.8,54.4,7.3,54.3,54.1,54.9,49.4,41.8,48.6,53.6,53.9,52.9,53.5,49.1
zero_shot/M-CLIP/evaluations_retrieval,img_r10,63.5,53.1,65.0,66.4,66.1,65.1,67.2,65.4,60.3,58.8,65.4,66.0,54.3,61.9,65.4,65.5,65.2,65.6,58.3,55.4,3.0,65.9,64.3,65.1,65.7,11.0,65.7,65.3,66.0,60.6,53.2,60.0,65.0,65.5,64.1,65.1,60.0
zero_shot/M-CLIP/evaluations_retrieval,r_mean,56.6,47.6,57.7,59.0,58.9,58.1,59.8,58.2,53.5,53.1,58.4,58.8,48.6,55.0,58.4,58.4,58.0,58.4,52.3,49.3,3.6,58.7,57.8,57.8,58.5,11.3,58.7,58.2,58.9,54.4,47.5,53.5,57.7,58.5,57.2,58.0,53.6
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r1,1.1,0.8,3.4,8.2,17.3,2.4,52.5,24.2,0.7,2.5,17.1,24.9,0.9,0.1,3.3,3.1,10.6,17.0,4.5,1.4,3.5,14.9,7.4,3.0,16.2,6.3,5.6,1.2,7.8,4.7,0.3,2.0,3.9,1.3,2.9,1.5,7.7
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r5,1.7,1.5,7.5,16.5,35.1,4.2,76.5,45.9,1.1,5.8,33.2,47.1,1.3,0.3,7.5,6.4,23.4,34.0,11.8,2.2,7.1,31.4,16.6,7.0,32.8,13.6,12.5,2.2,16.9,9.4,0.8,3.5,8.5,2.2,5.4,4.3,14.9
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r10,2.0,1.8,10.9,22.2,45.6,5.3,84.7,56.4,1.3,7.7,41.7,57.9,1.5,0.4,10.8,8.6,31.6,44.1,16.7,2.9,9.7,40.9,22.4,10.2,42.4,18.9,17.9,2.8,23.0,12.4,1.0,4.4,11.6,2.8,7.2,6.5,19.1
zero_shot/openai_clip_B16/evaluations_retrieval,img_r1,0.2,0.1,0.8,2.5,5.6,0.3,33.0,9.6,0.1,0.5,4.7,11.0,0.1,0.1,0.7,0.8,3.2,5.9,1.2,0.3,0.7,4.8,2.1,0.8,6.0,1.9,1.5,0.2,1.9,0.9,0.0,0.4,0.8,0.2,0.5,0.2,2.9
zero_shot/openai_clip_B16/evaluations_retrieval,img_r5,0.5,0.2,2.3,7.0,15.1,0.8,58.3,22.8,0.3,1.4,12.0,26.7,0.2,0.2,2.2,2.2,8.7,15.3,3.6,0.4,1.8,12.5,5.8,2.3,15.2,5.3,4.7,0.6,5.4,2.5,0.1,1.1,2.4,0.5,1.1,0.8,6.7
zero_shot/openai_clip_B16/evaluations_retrieval,img_r10,0.6,0.3,3.8,10.6,21.9,1.1,69.1,31.2,0.4,2.3,17.4,36.1,0.4,0.3,3.6,3.5,13.0,22.2,5.8,0.6,2.9,18.4,8.7,3.9,21.3,8.1,7.4,1.0,8.3,3.7,0.3,1.7,3.7,0.8,1.6,1.4,9.4
zero_shot/openai_clip_B16/evaluations_retrieval,r_mean,1.0,0.8,4.8,11.2,23.4,2.3,62.3,31.7,0.7,3.4,21.0,33.9,0.7,0.2,4.7,4.1,15.1,23.1,7.3,1.3,4.3,20.5,10.5,4.5,22.3,9.0,8.3,1.3,10.5,5.6,0.4,2.2,5.2,1.3,3.1,2.5,10.1
