model,metric,en,de,fr,cs,Average
coco/CL/B16_CLL_CLIP/order222,txt_r1,66.6,26.5,31.4,40.8,41.3
coco/CL/B16_CLL_CLIP/order222,txt_r5,87.9,50.0,52.5,66.2,64.2
coco/CL/B16_CLL_CLIP/order222,txt_r10,93.8,59.6,63.4,74.9,72.9
coco/CL/B16_CLL_CLIP/order222,img_r1,47.5,12.9,26.3,35.0,30.4
coco/CL/B16_CLL_CLIP/order222,img_r5,73.2,29.8,48.1,59.5,52.6
coco/CL/B16_CLL_CLIP/order222,img_r10,81.6,38.4,57.4,69.1,61.6
coco/CL/B16_CLL_CLIP/order222,r_mean,75.1,36.2,46.5,57.6,53.8
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r1,76.2,37.5,42.8,49.5,51.5
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r5,94.2,63.7,67.5,74.6,75.0
coco/CL/B16_CLL_CLIP_with_TEIR/order222,txt_r10,98.1,74.9,77.1,83.3,83.3
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r1,56.3,21.3,38.3,43.3,39.8
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r5,81.7,42.2,62.6,69.9,64.1
coco/CL/B16_CLL_CLIP_with_TEIR/order222,img_r10,88.8,52.2,74.3,78.5,73.5
coco/CL/B16_CLL_CLIP_with_TEIR/order222,r_mean,82.5,48.6,60.4,66.5,64.5
coco/CL/B16_MLA/order222,txt_r1,63.8,33.0,34.8,46.6,44.5
coco/CL/B16_MLA/order222,txt_r5,88.7,57.3,60.1,73.3,69.8
coco/CL/B16_MLA/order222,txt_r10,95.4,68.4,69.1,81.5,78.6
coco/CL/B16_MLA/order222,img_r1,44.1,17.4,31.4,41.5,33.6
coco/CL/B16_MLA/order222,img_r5,70.9,35.2,55.6,67.3,57.2
coco/CL/B16_MLA/order222,img_r10,79.7,44.8,65.2,77.6,66.8
coco/CL/B16_MLA/order222,r_mean,73.8,42.7,52.7,64.6,58.4
coco/CL/B16_MLA_with_TEIR/order222,txt_r1,75.9,48.2,49.2,58.1,57.9
coco/CL/B16_MLA_with_TEIR/order222,txt_r5,94.9,75.2,75.4,82.2,81.9
coco/CL/B16_MLA_with_TEIR/order222,txt_r10,98.1,83.9,84.0,89.4,88.8
coco/CL/B16_MLA_with_TEIR/order222,img_r1,56.3,28.2,46.1,52.4,45.8
coco/CL/B16_MLA_with_TEIR/order222,img_r5,81.2,51.4,71.6,76.7,70.2
coco/CL/B16_MLA_with_TEIR/order222,img_r10,88.2,61.5,81.8,85.7,79.3
coco/CL/B16_MLA_with_TEIR/order222,r_mean,82.4,58.1,68.0,74.1,70.7
