model,metric,en,de,fr,cs,Average
zero_shot/M-CLIP/evaluations_retrieval,txt_r1,78.0,73.9,58.8,57.1,67.0
zero_shot/M-CLIP/evaluations_retrieval,txt_r5,94.9,91.7,84.4,83.6,88.7
zero_shot/M-CLIP/evaluations_retrieval,txt_r10,98.2,96.5,92.2,90.0,94.2
zero_shot/M-CLIP/evaluations_retrieval,img_r1,59.0,50.8,58.2,57.5,56.4
zero_shot/M-CLIP/evaluations_retrieval,img_r5,84.0,77.0,82.4,81.7,81.3
zero_shot/M-CLIP/evaluations_retrieval,img_r10,90.3,84.7,89.2,88.2,88.1
zero_shot/M-CLIP/evaluations_retrieval,r_mean,84.1,79.1,77.5,76.3,79.3
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r1,82.4,29.1,33.5,4.8,37.5
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r5,96.7,57.6,57.2,12.4,56.0
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r10,99.0,70.0,69.3,16.8,63.8
zero_shot/openai_clip_B16/evaluations_retrieval,img_r1,62.2,11.6,24.2,2.4,25.1
zero_shot/openai_clip_B16/evaluations_retrieval,img_r5,85.6,26.7,49.4,5.3,41.8
zero_shot/openai_clip_B16/evaluations_retrieval,img_r10,91.9,35.4,59.9,7.1,48.6
zero_shot/openai_clip_B16/evaluations_retrieval,r_mean,86.3,38.4,48.9,8.1,45.4
