model,metric,ar,bn,cs,da,de,el,en,es,fa,fi,fil,fr,he,hi,hr,hu,id,it,ja,ko,mi,nl,no,pl,pt,quz,ro,ru,sv,sw,te,th,tr,uk,vi,zh,Average
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r1,41.3,14.7,46.9,59.5,63.2,47.1,54.2,55.3,53.0,52.1,47.7,60.9,54.9,20.2,55.8,53.6,62.8,60.4,53.9,44.9,20.1,52.5,58.4,52.7,54.1,18.0,59.1,57.9,57.5,39.7,14.8,42.9,49.0,51.4,55.6,50.3,48.2
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r5,68.4,31.6,73.6,84.5,87.4,73.4,80.0,82.1,78.7,76.6,75.5,85.9,79.8,38.5,81.1,78.3,87.9,85.0,79.9,71.8,40.3,79.6,83.3,77.9,79.9,36.6,83.4,81.6,83.1,66.4,32.1,70.5,76.0,76.1,81.8,76.2,72.9
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r10,78.1,40.3,82.1,90.9,93.2,82.2,87.2,88.8,86.6,84.4,84.0,92.1,87.4,48.3,88.5,86.2,93.4,91.4,87.6,80.6,51.0,87.1,90.5,85.7,87.2,46.1,90.0,89.2,89.8,77.4,41.0,79.4,84.7,85.1,89.4,85.1,80.9
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r1,28.2,10.4,32.8,46.0,47.4,33.6,41.9,41.0,37.6,38.7,33.5,46.8,38.2,10.4,40.0,39.0,48.1,45.4,38.0,31.8,15.2,39.0,43.9,38.4,40.3,10.1,43.1,41.2,43.3,27.3,8.3,29.6,36.4,36.5,40.0,37.2,35.0
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r5,53.4,24.2,59.3,72.5,73.4,58.5,68.1,68.3,64.2,63.3,59.2,73.7,63.6,23.8,66.0,64.2,75.7,72.2,63.7,56.8,32.8,66.0,71.6,63.2,67.4,22.4,69.0,68.2,69.5,52.1,21.4,53.6,62.5,62.7,66.4,62.6,59.3
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r10,64.1,31.7,69.3,80.7,81.6,68.2,76.8,77.6,73.6,72.2,69.3,82.0,72.9,31.4,75.1,73.0,83.9,80.9,73.2,66.4,42.9,75.6,79.9,72.5,76.5,30.0,77.0,77.0,78.2,62.9,28.8,63.9,72.3,71.6,75.8,72.3,68.4
coco/CL/B16_Ablation_onlyCrossLingual/order222,r_mean,55.6,25.5,60.7,72.4,74.4,60.5,68.0,68.8,65.6,64.6,61.5,73.6,66.1,28.8,67.7,65.7,75.3,72.6,66.1,58.7,33.7,66.6,71.3,65.1,67.6,27.2,70.3,69.2,70.2,54.3,24.4,56.7,63.5,63.9,68.2,63.9,60.8
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r1,28.8,14.4,33.3,47.6,52.1,28.9,56.0,46.4,38.6,37.6,39.5,52.8,36.4,18.9,39.3,37.1,52.8,51.2,38.7,24.4,15.1,43.9,46.9,39.5,45.1,13.7,45.1,42.0,46.7,32.2,14.8,33.8,37.8,32.5,45.1,29.8,37.2
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r5,53.8,31.7,59.5,73.2,79.0,52.6,82.1,74.0,66.4,62.6,66.0,80.3,62.1,38.5,65.7,63.8,78.8,77.3,66.6,46.8,32.9,71.4,74.8,65.1,73.2,28.8,72.2,68.0,73.9,58.8,32.6,60.4,62.8,57.5,72.4,55.1,62.2
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r10,64.8,41.7,69.4,81.9,86.7,62.9,89.0,83.1,76.6,73.2,76.7,88.2,71.7,49.1,75.9,73.6,87.2,85.3,77.3,57.7,42.7,80.6,83.8,73.8,82.0,37.4,80.9,78.0,82.6,69.5,41.9,70.4,72.1,67.4,80.9,65.1,71.7
