model,metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r1,54.2,56.1,55.6,50.1,43.6,45.6,42.6,38.9,40.8,39.4,38.4,34.5,36.0,34.0,34.6,35.6,36.4,36.8,35.3,35.6,34.9,35.2,34.1,34.6,34.8,35.5,35.4,34.8,34.2,34.5,34.5,34.6,33.8,34.2,34.5,33.8
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r5,80.0,81.6,81.0,76.9,69.1,71.2,67.7,62.9,65.0,63.2,61.9,57.4,59.2,56.6,56.7,57.9,59.0,59.0,57.3,57.6,56.6,57.0,55.6,56.4,56.6,57.3,57.4,56.9,56.4,57.0,56.9,57.1,56.2,56.8,57.3,56.3
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r10,87.2,88.8,88.3,85.0,78.1,79.9,76.8,72.0,73.8,72.2,70.8,66.6,68.2,65.6,65.4,66.6,67.6,67.3,65.7,65.8,65.1,65.3,64.0,64.9,65.0,65.7,65.8,65.4,64.9,65.5,65.5,65.7,64.9,65.5,66.0,65.0
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r1,41.9,42.7,41.3,36.7,30.9,32.5,30.4,28.0,29.0,27.8,27.2,23.9,25.0,23.8,24.4,25.0,25.6,25.8,24.6,24.9,24.2,24.7,24.0,24.1,24.2,24.8,24.7,24.2,23.8,24.1,24.0,23.9,23.3,23.6,23.8,23.2
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r5,68.1,69.3,67.7,62.4,54.7,56.9,53.9,50.1,51.7,50.0,48.9,44.2,45.8,43.9,44.3,45.2,46.1,46.3,44.7,45.2,44.2,44.5,43.5,43.9,44.0,44.8,44.7,44.1,43.6,44.1,44.0,44.1,43.2,43.6,43.9,43.0
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r10,76.8,78.0,76.7,72.0,64.2,66.2,63.3,59.3,60.8,58.8,57.8,52.8,54.5,52.6,52.7,53.8,54.7,54.7,53.1,53.5,52.5,52.8,51.8,52.3,52.4,53.2,53.0,52.5,52.0,52.7,52.6,52.7,51.7,52.2,52.6,51.7
coco/CL/B16_Ablation_onlyCrossLingual/order222,r_mean,68.0,69.4,68.5,63.9,56.8,58.7,55.8,51.9,53.5,51.9,50.8,46.6,48.1,46.1,46.3,47.4,48.2,48.3,46.8,47.1,46.2,46.6,45.5,46.0,46.2,46.9,46.8,46.3,45.8,46.3,46.3,46.4,45.5,46.0,46.3,45.5
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r1,56.0,51.1,48.3,43.8,36.7,35.9,34.0,30.9,31.8,30.0,29.5,25.7,26.5,24.9,25.7,25.5,25.5,26.4,25.3,25.4,24.8,25.3,24.2,24.8,25.1,25.6,25.5,24.7,24.3,24.8,24.7,24.7,23.6,23.5,23.7,23.2
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r5,82.1,77.7,74.7,70.5,62.0,61.3,58.5,54.4,55.5,53.4,52.3,47.3,48.5,45.8,46.6,46.2,46.7,47.5,46.1,46.1,45.5,46.0,44.7,45.4,46.2,46.7,46.6,45.5,45.0,45.8,45.5,45.7,44.3,44.2,44.4,43.9
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r10,89.0,85.8,83.6,79.7,71.8,71.2,68.2,64.1,65.2,63.3,62.2,56.8,58.2,55.3,55.9,55.5,56.2,56.6,55.3,55.2,54.7,55.1,54.0,54.6,55.4,56.1,55.9,54.9,54.3,55.1,54.8,55.0,53.7,53.6,53.9,53.3
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r1,46.4,41.4,38.4,33.8,28.0,27.4,25.9,23.9,24.6,23.4,22.7,19.7,20.3,19.2,19.8,19.6,19.7,20.3,19.4,19.4,18.9,19.3,18.6,18.9,19.4,19.8,19.6,18.9,18.5,18.9,18.7,18.8,18.0,17.9,18.0,17.7
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r5,73.2,68.0,64.4,59.1,51.5,50.8,48.5,45.4,46.4,44.6,43.4,38.6,39.8,37.9,38.5,38.5,38.7,39.1,37.9,37.8,37.2,37.8,36.8,37.3,38.1,38.7,38.5,37.5,36.9,37.5,37.2,37.3,36.2,36.2,36.4,35.9
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r10,81.7,77.3,73.6,68.7,61.2,60.5,58.2,54.9,56.0,54.0,52.8,47.7,48.9,46.8,47.3,47.1,47.5,47.8,46.5,46.4,45.8,46.4,45.3,45.9,46.8,47.5,47.3,46.2,45.6,46.3,45.9,46.1,44.9,44.9,45.1,44.5
coco/CL/B16_Ablation_onlyCrossModal/order222,r_mean,71.4,66.9,63.8,59.3,51.9,51.2,48.9,45.6,46.6,44.8,43.8,39.3,40.4,38.3,39.0,38.7,39.1,39.6,38.4,38.4,37.8,38.3,37.3,37.8,38.5,39.1,38.9,37.9,37.4,38.1,37.8,37.9,36.8,36.7,36.9,36.4
coco/CL/B16_Ablation_trainAll/order222,txt_r1,56.6,59.1,57.4,51.9,35.9,29.2,30.9,17.5,13.0,16.6,17.7,13.7,12.3,11.2,14.3,14.2,11.5,12.8,10.5,12.7,8.7,12.9,8.4,8.1,9.7,9.2,10.2,9.6,9.1,10.2,8.4,7.8,8.8,6.5,6.0,6.3
coco/CL/B16_Ablation_trainAll/order222,txt_r5,82.7,84.2,82.8,78.6,60.1,49.5,52.0,32.2,23.9,28.9,31.1,25.6,22.6,21.3,25.4,25.4,21.1,23.1,19.3,23.0,16.8,23.0,16.1,15.6,18.0,16.8,18.7,17.9,16.9,18.9,15.6,14.8,17.0,13.2,11.9,12.5
coco/CL/B16_Ablation_trainAll/order222,txt_r10,89.4,90.7,89.8,86.3,69.3,57.5,60.3,38.8,28.9,34.0,37.1,31.3,27.5,26.0,30.4,30.2,25.2,27.5,23.2,27.6,20.6,27.5,19.8,19.2,21.9,20.6,22.4,21.8,20.6,23.1,19.1,18.1,21.0,16.5,14.9,15.6
coco/CL/B16_Ablation_trainAll/order222,img_r1,43.7,44.7,43.1,38.3,24.8,20.1,21.6,11.5,8.8,11.8,12.2,8.8,7.9,7.4,9.7,9.5,7.7,8.6,7.0,8.7,5.4,8.9,5.2,5.1,6.1,6.0,6.8,6.4,6.0,6.5,5.4,4.9,5.6,4.0,3.8,4.0
coco/CL/B16_Ablation_trainAll/order222,img_r5,71.2,72.4,70.4,64.2,46.4,37.2,39.9,23.1,17.1,22.0,23.4,17.9,16.0,15.3,18.9,18.8,15.5,16.9,14.1,17.0,11.7,17.3,11.1,10.9,12.7,12.2,13.5,13.0,12.1,13.3,11.1,10.3,12.1,8.8,8.2,8.5
coco/CL/B16_Ablation_trainAll/order222,img_r10,79.7,80.5,79.2,73.7,55.5,44.7,47.7,28.7,21.5,26.8,28.7,22.6,20.0,19.3,23.2,23.2,19.2,20.9,17.5,20.9,14.9,21.3,14.2,13.8,16.0,15.3,16.8,16.3,15.3,16.8,14.0,13.0,15.4,11.5,10.6,11.1
coco/CL/B16_Ablation_trainAll/order222,r_mean,70.5,71.9,70.4,65.5,48.7,39.7,42.1,25.3,18.9,23.3,25.0,20.0,17.7,16.8,20.3,20.2,16.7,18.3,15.3,18.3,13.0,18.5,12.5,12.1,14.1,13.4,14.7,14.2,13.3,14.8,12.3,11.5,13.3,10.1,9.2,9.6
coco/CL/B16_CLL_CLIP/order222,txt_r1,56.7,57.8,56.5,49.9,41.6,42.2,40.1,36.7,36.8,35.9,34.3,30.8,32.0,29.6,30.0,30.6,30.6,31.4,30.1,30.3,29.3,29.3,27.4,29.2,28.8,30.2,29.3,28.6,27.9,27.5,27.6,28.1,26.7,26.9,26.7,26.4
coco/CL/B16_CLL_CLIP/order222,txt_r5,81.3,83.0,81.8,76.4,67.0,67.4,65.0,60.7,60.2,58.8,57.3,52.8,53.8,51.0,50.8,51.6,51.5,52.2,50.7,51.1,49.8,49.8,47.6,49.8,49.4,50.9,49.8,48.8,48.1,47.8,47.9,48.5,46.8,46.8,46.8,46.3
coco/CL/B16_CLL_CLIP/order222,txt_r10,88.6,89.8,89.1,84.5,75.8,76.5,74.0,69.9,69.2,67.9,66.4,61.9,63.0,59.9,59.5,60.2,59.8,60.4,59.1,59.3,58.2,58.0,55.9,58.2,57.7,59.2,58.2,57.1,56.4,56.3,56.3,56.9,55.3,55.3,55.2,54.7
coco/CL/B16_CLL_CLIP/order222,img_r1,43.1,43.5,41.5,36.1,29.1,29.3,28.4,25.6,25.1,24.5,24.1,20.7,21.7,20.7,21.2,21.3,20.4,21.8,20.8,21.0,20.1,20.3,18.4,19.7,19.8,20.7,20.2,19.4,18.9,18.9,18.7,18.7,17.9,17.3,17.7,17.6
coco/CL/B16_CLL_CLIP/order222,img_r5,69.9,70.7,68.6,61.8,52.5,52.8,51.0,47.4,46.1,45.2,44.5,39.5,41.0,39.3,39.4,39.6,38.5,40.2,39.0,39.3,38.2,38.2,35.7,37.6,37.7,38.8,38.2,37.0,36.1,36.2,36.0,36.2,34.8,34.2,34.6,34.3
coco/CL/B16_CLL_CLIP/order222,img_r10,78.6,79.2,77.4,71.4,61.9,62.3,60.2,56.4,55.2,54.0,53.2,48.2,49.4,47.6,47.5,47.7,46.6,48.1,47.1,47.3,46.3,46.2,43.7,45.8,45.8,46.8,46.1,44.8,44.0,44.1,43.9,44.2,42.7,42.2,42.6,42.2
coco/CL/B16_CLL_CLIP/order222,r_mean,69.7,70.7,69.1,63.4,54.6,55.1,53.1,49.4,48.8,47.7,46.6,42.3,43.5,41.3,41.4,41.8,41.2,42.3,41.1,41.4,40.3,40.3,38.1,40.1,39.9,41.1,40.3,39.3,38.6,38.5,38.4,38.8,37.4,37.1,37.3,36.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r1,56.4,57.7,56.1,50.4,42.1,43.0,40.9,37.2,37.3,36.2,35.0,31.6,32.6,30.5,31.1,32.0,31.9,32.9,31.7,32.1,31.2,31.9,30.6,31.6,31.6,32.6,32.1,31.3,30.7,31.1,30.8,30.8,30.3,30.1,30.1,30.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r5,81.3,83.1,81.6,76.4,67.5,68.4,65.7,61.5,60.9,59.3,58.3,53.9,55.2,52.2,52.5,53.4,53.1,53.9,52.8,53.5,52.6,53.2,51.8,53.2,53.1,54.4,53.8,53.0,52.3,52.9,52.5,52.6,52.0,51.5,51.5,51.4
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r10,88.6,90.2,89.0,84.9,76.3,77.7,74.6,70.3,69.5,68.3,67.3,63.1,64.2,60.9,61.0,62.1,61.6,62.3,61.1,61.9,61.2,61.6,60.2,61.6,61.7,62.9,62.3,61.5,60.8,61.5,61.0,61.2,60.7,60.2,60.2,60.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r1,43.1,43.7,41.4,36.2,29.2,29.8,29.0,26.4,25.4,24.9,24.9,21.3,22.2,21.2,22.1,22.1,21.1,22.8,21.7,22.4,21.6,22.2,21.0,21.8,21.9,22.4,22.2,21.4,20.9,21.4,21.1,20.8,20.4,19.7,19.8,19.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r5,69.8,70.5,68.2,61.6,52.7,53.4,51.9,48.2,46.4,45.5,45.4,40.2,41.5,39.9,40.7,40.8,39.5,41.7,40.4,41.4,40.5,41.0,39.6,40.7,40.7,41.5,41.3,40.1,39.4,40.4,39.8,39.5,38.9,37.9,38.1,38.1
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r10,78.5,79.3,77.3,71.1,61.8,62.7,61.0,57.2,55.4,54.3,54.1,48.9,50.1,48.5,48.9,49.1,47.6,49.8,48.6,49.6,48.9,49.3,47.9,49.1,49.1,49.9,49.7,48.5,47.7,48.8,48.2,47.9,47.3,46.3,46.4,46.5
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,r_mean,69.6,70.8,68.9,63.4,54.9,55.8,53.8,50.1,49.1,48.1,47.5,43.2,44.3,42.2,42.7,43.2,42.5,43.9,42.7,43.5,42.6,43.2,41.8,43.0,43.0,43.9,43.5,42.6,42.0,42.7,42.3,42.1,41.6,40.9,41.0,41.0
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r1,55.8,57.3,56.2,49.9,42.8,43.8,41.6,37.7,39.2,37.8,36.5,32.5,34.0,31.9,32.5,33.1,33.6,34.0,32.5,32.8,32.0,32.2,31.0,31.3,31.5,32.4,32.0,31.3,30.3,30.8,30.2,30.3,29.3,29.2,29.4,28.4
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r5,81.2,82.8,81.5,76.6,67.9,69.4,66.8,61.9,63.5,61.9,60.1,55.4,57.0,54.1,54.0,54.8,55.4,55.3,53.9,54.0,53.0,53.2,51.9,52.4,52.6,53.6,53.1,52.2,51.3,51.8,50.9,51.2,50.1,50.1,50.5,49.1
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r10,88.5,89.2,89.0,84.8,77.0,78.5,75.7,71.1,72.5,70.8,68.9,64.4,65.9,63.2,62.8,63.4,64.1,63.5,62.3,62.2,61.3,61.4,60.3,60.9,61.1,62.0,61.4,60.6,59.7,60.4,59.4,59.8,58.8,58.8,59.1,57.7
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r1,43.2,43.5,41.9,36.6,30.1,31.4,29.9,27.2,28.3,27.0,26.0,22.5,23.6,22.5,23.0,23.4,23.7,23.9,22.7,23.0,22.3,22.5,21.7,22.0,22.0,22.6,22.3,21.7,21.1,21.3,20.8,20.8,20.1,20.0,20.2,19.5
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r5,69.8,70.5,68.8,62.3,54.0,55.6,53.3,49.3,50.6,48.5,47.4,42.4,44.0,41.9,42.2,42.7,43.3,43.2,41.8,42.2,41.3,41.3,40.2,40.7,40.9,41.8,41.2,40.3,39.4,40.1,39.2,39.3,38.3,38.3,38.5,37.3
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r10,78.4,79.1,77.5,71.9,63.4,65.0,62.5,58.4,59.8,57.6,56.3,51.2,52.7,50.6,50.6,51.4,51.8,51.5,49.9,50.3,49.4,49.4,48.3,48.9,49.1,50.0,49.4,48.5,47.5,48.3,47.3,47.5,46.4,46.5,46.7,45.4
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,r_mean,69.5,70.4,69.1,63.7,55.9,57.3,55.0,50.9,52.3,50.6,49.2,44.7,46.2,44.0,44.2,44.8,45.3,45.2,43.9,44.1,43.2,43.4,42.3,42.7,42.9,43.7,43.2,42.4,41.6,42.1,41.3,41.5,40.5,40.5,40.7,39.5
