model,metric,cl_AA,cl_F,cl_Fen
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r1,33.8,14.9,8.1
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r5,56.3,17.2,6.1
coco/CL/B16_Ablation_onlyCrossLingual/order222,txt_r10,65.0,16.4,5.0
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r1,23.2,12.2,7.2
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r5,43.0,16.9,8.0
coco/CL/B16_Ablation_onlyCrossLingual/order222,img_r10,51.7,17.2,6.7
coco/CL/B16_Ablation_onlyCrossLingual/order222,r_mean,45.5,15.8,6.9
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r1,23.2,14.4,21.6
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r5,43.9,19.0,20.9
coco/CL/B16_Ablation_onlyCrossModal/order222,txt_r10,53.3,19.0,17.4
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r1,17.7,12.2,18.3
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r5,35.9,17.5,20.3
coco/CL/B16_Ablation_onlyCrossModal/order222,img_r10,44.5,18.6,18.2
coco/CL/B16_Ablation_onlyCrossModal/order222,r_mean,36.4,16.8,19.5
coco/CL/B16_Ablation_trainAll/order222,txt_r1,6.3,47.1,36.5
coco/CL/B16_Ablation_trainAll/order222,txt_r5,12.5,67.1,41.2
coco/CL/B16_Ablation_trainAll/order222,txt_r10,15.6,71.9,38.4
coco/CL/B16_Ablation_trainAll/order222,img_r1,4.0,36.9,28.8
coco/CL/B16_Ablation_trainAll/order222,img_r5,8.5,59.2,39.2
coco/CL/B16_Ablation_trainAll/order222,img_r10,11.1,66.0,38.6
coco/CL/B16_Ablation_trainAll/order222,r_mean,9.6,58.0,37.1
coco/CL/B16_CLL_CLIP/order222,txt_r1,26.4,23.1,18.0
coco/CL/B16_CLL_CLIP/order222,txt_r5,46.3,28.2,15.1
coco/CL/B16_CLL_CLIP/order222,txt_r10,54.7,27.7,13.4
coco/CL/B16_CLL_CLIP/order222,img_r1,17.6,18.4,13.6
coco/CL/B16_CLL_CLIP/order222,img_r5,34.3,26.6,16.3
coco/CL/B16_CLL_CLIP/order222,img_r10,42.2,27.9,15.2
coco/CL/B16_CLL_CLIP/order222,r_mean,36.9,25.3,15.3
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r1,30.0,19.0,14.5
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r5,51.4,22.7,12.2
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,txt_r10,60.0,22.1,9.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r1,19.9,15.5,11.8
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r5,38.1,22.0,13.1
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,img_r10,46.5,22.9,11.9
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_d/order222,r_mean,41.0,20.7,12.2
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r1,28.4,20.2,13.8
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r5,49.1,24.4,12.3
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,txt_r10,57.7,23.9,10.3
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r1,19.5,16.1,11.8
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r5,37.3,22.9,13.1
coco/CL/B16_CLL_CLIP_Oracle0_ID0_REG1_g/order222,img_r10,45.4,24.0,12.0
