model,metric,ar,bn,cs,da,de,el,en,es,fa,fi,fil,fr,he,hi,hr,hu,id,it,ja,ko,mi,nl,no,pl,pt,quz,ro,ru,sv,sw,te,th,tr,uk,vi,zh,Average
zero_shot/M-CLIP/evaluations_retrieval,txt_r1,54.0,31.9,53.6,63.6,68.9,56.6,50.3,59.3,54.0,58.9,49.9,64.8,51.5,35.2,65.8,64.8,66.2,64.4,56.9,49.6,0.6,58.0,61.7,61.9,59.8,5.6,64.4,66.2,62.2,41.3,29.2,55.4,57.3,63.3,62.3,58.9,53.6
zero_shot/M-CLIP/evaluations_retrieval,txt_r5,80.4,56.5,80.4,88.4,90.4,83.2,78.3,84.8,80.4,84.5,76.6,88.7,78.2,61.7,89.4,89.0,90.2,88.2,82.6,76.9,1.2,83.7,86.8,86.4,84.9,11.0,88.4,89.2,86.8,68.8,54.5,81.9,83.3,88.1,87.4,83.9,77.7
zero_shot/M-CLIP/evaluations_retrieval,txt_r10,88.6,67.4,88.0,93.6,95.1,89.8,85.8,91.4,88.8,91.0,85.9,94.1,85.9,71.6,94.5,94.2,94.9,93.6,89.8,85.0,1.8,90.7,93.1,92.4,92.1,13.6,93.9,95.1,92.9,78.4,65.5,89.6,90.6,93.9,93.0,91.2,84.4
zero_shot/M-CLIP/evaluations_retrieval,img_r1,41.4,24.6,40.4,50.4,53.9,42.0,38.5,45.7,40.3,46.4,35.7,51.2,37.7,19.9,49.6,51.4,53.0,50.1,42.2,36.8,0.3,44.5,48.5,49.4,46.6,1.8,51.7,53.3,49.2,29.8,19.1,41.1,45.7,51.4,48.1,46.1,41.1
zero_shot/M-CLIP/evaluations_retrieval,img_r5,69.6,47.4,68.8,78.6,81.1,70.1,66.5,74.0,68.4,73.3,63.2,78.9,63.9,41.4,77.4,78.2,80.9,77.7,69.4,62.9,0.7,72.2,76.1,76.3,74.6,4.7,78.4,80.8,76.9,55.4,40.0,69.3,72.7,79.0,75.3,73.9,66.6
zero_shot/M-CLIP/evaluations_retrieval,img_r10,79.7,57.4,78.7,85.8,88.1,79.0,75.8,82.8,77.4,81.9,72.4,87.3,73.9,52.2,85.1,86.3,88.3,85.8,78.7,72.9,1.0,81.2,84.6,84.0,83.1,6.3,86.4,88.3,84.9,65.5,50.7,79.1,81.7,86.4,84.0,82.4,75.0
zero_shot/M-CLIP/evaluations_retrieval,r_mean,68.9,47.5,68.3,76.7,79.6,70.1,65.9,73.0,68.2,72.7,64.0,77.5,65.2,47.0,77.0,77.3,78.9,76.6,69.9,64.0,1.0,71.7,75.1,75.1,73.5,7.2,77.2,78.8,75.5,56.6,43.2,69.4,71.9,77.0,75.0,72.7,66.4
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r1,1.1,0.0,4.6,10.6,25.4,0.8,54.2,31.5,0.3,5.8,11.7,36.6,0.3,0.1,5.1,5.8,18.9,23.0,5.4,0.4,0.6,18.0,10.1,5.7,23.4,4.3,9.8,2.6,9.5,4.3,0.0,3.8,5.0,1.4,3.8,1.7,9.6
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r5,1.5,0.1,9.4,20.6,46.1,1.2,80.1,58.4,0.5,10.7,20.9,62.3,0.5,0.1,10.4,10.8,35.2,42.5,14.2,0.9,1.2,35.4,20.8,11.6,42.9,8.7,19.8,4.3,19.9,8.5,0.2,5.8,10.3,2.2,7.6,4.3,17.5
zero_shot/openai_clip_B16/evaluations_retrieval,txt_r10,2.0,0.1,11.6,26.3,56.7,1.4,87.1,68.1,0.7,13.0,25.5,72.8,0.6,0.3,13.1,13.3,43.1,52.4,19.9,1.2,1.6,44.1,26.7,15.1,52.3,11.2,26.0,5.5,26.3,10.2,0.3,7.2,13.5,3.1,8.9,6.9,21.3
zero_shot/openai_clip_B16/evaluations_retrieval,img_r1,0.3,0.0,1.7,3.7,11.7,0.2,42.1,17.1,0.1,1.6,3.9,21.9,0.1,0.0,1.5,2.1,7.0,9.9,2.0,0.1,0.1,8.4,3.7,1.9,11.9,1.3,4.1,0.8,3.3,1.1,0.0,1.5,1.6,0.4,1.1,0.5,4.7
zero_shot/openai_clip_B16/evaluations_retrieval,img_r5,0.5,0.1,4.0,8.6,24.6,0.4,68.0,36.3,0.3,3.6,9.1,42.9,0.3,0.2,3.9,4.6,15.6,22.3,6.2,0.2,0.7,18.7,8.4,4.9,25.6,3.4,9.2,1.7,7.9,2.8,0.1,2.9,4.0,0.8,2.2,1.4,9.6
zero_shot/openai_clip_B16/evaluations_retrieval,img_r10,0.8,0.2,5.0,11.7,31.2,0.7,76.7,45.6,0.5,5.0,12.0,51.7,0.5,0.3,5.8,5.9,20.6,29.8,9.4,0.4,1.2,24.5,11.4,6.5,33.0,4.7,12.2,2.3,10.8,4.0,0.3,3.8,5.4,1.3,2.9,2.1,12.2
zero_shot/openai_clip_B16/evaluations_retrieval,r_mean,1.0,0.1,6.1,13.6,32.6,0.8,68.0,42.8,0.4,6.6,13.8,48.0,0.4,0.2,6.6,7.1,23.4,30.0,9.5,0.5,0.9,24.8,13.5,7.6,31.5,5.6,13.5,2.8,13.0,5.2,0.2,4.2,6.6,1.5,4.4,2.8,12.5
